"location","state","both_sexes_2002","females_2002","males_2002"
"Marion County","Alabama",24.9,15,35.2
"Lamar County","Alabama",25.6,16.8,34.8
"Lawrence County","Alabama",25.9,16.7,35.4
"Franklin County","Alabama",26.3,16.6,36.4
"Fayette County","Alabama",27,18.1,36.2
"Winston County","Alabama",27.3,17,37.9
"Clay County","Alabama",28.9,19.2,39
"Jackson County","Alabama",29.1,20.9,37.6
"Cleburne County","Alabama",29.4,19.4,39.8
"Choctaw County","Alabama",29.5,18.5,40.8
"Pickens County","Alabama",29.5,19.6,39.8
"DeKalb County","Alabama",29.8,19.8,40.2
"Washington County","Alabama",30.3,19.2,41.8
"Walker County","Alabama",30.5,21.4,39.8
"Chilton County","Alabama",30.6,21.3,40.2
"Bibb County","Alabama",31.1,21.7,40.7
"Lauderdale County","Alabama",31.1,23,39.6
"Cherokee County","Alabama",31.2,19.4,43.5
"Limestone County","Alabama",31.6,24.4,39
"Conecuh County","Alabama",31.7,21.7,42.1
"Blount County","Alabama",31.9,22.1,42.1
"Crenshaw County","Alabama",32,22.6,41.8
"Henry County","Alabama",32.4,22.9,42.2
"Escambia County","Alabama",32.5,26.2,39.1
"Cullman County","Alabama",32.6,22.7,42.8
"Colbert County","Alabama",32.8,24.9,41
"Clarke County","Alabama",33.1,23.6,42.9
"Hale County","Alabama",33.2,21.8,45
"Wilcox County","Alabama",33.2,21.8,45
"Covington County","Alabama",33.5,24.9,42.5
"Monroe County","Alabama",33.7,23,44.7
"Coosa County","Alabama",33.8,24.1,44
"Sumter County","Alabama",33.9,23.3,44.7
"Perry County","Alabama",34,23,45.3
"Geneva County","Alabama",34.2,23.7,45.1
"Marshall County","Alabama",34.2,25.2,43.5
"Butler County","Alabama",34.5,25.8,43.4
"Randolph County","Alabama",34.5,23.9,45.5
"Greene County","Alabama",34.6,23.5,46.1
"Talladega County","Alabama",34.8,24.7,45.3
"Bullock County","Alabama",34.9,26.5,43.6
"Chambers County","Alabama",35.5,27,44.3
"Lowndes County","Alabama",35.8,23.5,48.6
"Barbour County","Alabama",36,27.3,45
"St. Clair County","Alabama",36.4,26.8,46.4
"Etowah County","Alabama",36.7,26.5,47.3
"Morgan County","Alabama",36.8,27.6,46.3
"Marengo County","Alabama",37.1,27.3,47.4
"Pike County","Alabama",37.4,28.2,47
"Tallapoosa County","Alabama",37.5,27.5,47.7
"Calhoun County","Alabama",38,27.9,48.4
"Dallas County","Alabama",38.8,29.9,48
"Autauga County","Alabama",39.4,29.4,49.7
"Coffee County","Alabama",39.4,29.9,49.2
"Russell County","Alabama",39.9,32.9,47.1
"Elmore County","Alabama",40.6,32.8,48.8
"Alabama","Alabama",40.7,32.1,49.6
"Dale County","Alabama",41,31.4,51
"Macon County","Alabama",41.5,34.3,49
"Tuscaloosa County","Alabama",43,34.8,51.5
"Houston County","Alabama",43.1,34.2,52.3
"Madison County","Alabama",45.3,37.5,53.5
"Mobile County","Alabama",46.8,37.4,56.6
"Montgomery County","Alabama",47.5,40.8,54.3
"Lee County","Alabama",48.2,42.4,54.2
"Jefferson County","Alabama",48.3,40.3,56.5
"Shelby County","Alabama",48.4,40.6,56.4
"Baldwin County","Alabama",54,45.7,62.5
